,sample,filename
GSM5548652,GSM5548652,GSM5548652_205089030088_R01C01
GSM5548653,GSM5548653,GSM5548653_205624870119_R01C01
GSM5548654,GSM5548654,GSM5548654_205624870119_R02C01
GSM5548655,GSM5548655,GSM5548655_205089030088_R02C01
GSM5548656,GSM5548656,GSM5548656_205121980086_R03C01
GSM5548657,GSM5548657,GSM5548657_205624870119_R03C01
GSM5548658,GSM5548658,GSM5548658_205121980130_R02C01
GSM5548659,GSM5548659,GSM5548659_205103220111_R01C01
GSM5548660,GSM5548660,GSM5548660_205103220111_R02C01
GSM5548661,GSM5548661,GSM5548661_205121980130_R03C01
GSM5548662,GSM5548662,GSM5548662_205103220111_R03C01
GSM5548663,GSM5548663,GSM5548663_205103220111_R04C01
GSM5548664,GSM5548664,GSM5548664_205121980130_R04C01
GSM5548665,GSM5548665,GSM5548665_205103220111_R05C01
GSM5548666,GSM5548666,GSM5548666_205624870119_R04C01
GSM5548667,GSM5548667,GSM5548667_205121980130_R05C01
GSM5548668,GSM5548668,GSM5548668_205103220111_R07C01
GSM5548669,GSM5548669,GSM5548669_205103220111_R08C01
GSM5548670,GSM5548670,GSM5548670_205121980130_R06C01
GSM5548671,GSM5548671,GSM5548671_205624870119_R05C01
GSM5548672,GSM5548672,GSM5548672_205624870119_R06C01
GSM5548673,GSM5548673,GSM5548673_205121980130_R07C01
GSM5548674,GSM5548674,GSM5548674_205624870119_R07C01
GSM5548675,GSM5548675,GSM5548675_205624870119_R08C01
GSM5548676,GSM5548676,GSM5548676_205121980130_R08C01
GSM5548677,GSM5548677,GSM5548677_205624880079_R02C01
GSM5548678,GSM5548678,GSM5548678_205624880079_R01C01
GSM5548679,GSM5548679,GSM5548679_205089030088_R03C01
GSM5548680,GSM5548680,GSM5548680_205624880079_R03C01
GSM5548681,GSM5548681,GSM5548681_205121980086_R06C01
GSM5548682,GSM5548682,GSM5548682_205089030088_R04C01
GSM5548683,GSM5548683,GSM5548683_205624880079_R04C01
GSM5548684,GSM5548684,GSM5548684_205624880079_R05C01
GSM5548685,GSM5548685,GSM5548685_205089030088_R05C01
GSM5548686,GSM5548686,GSM5548686_205103220115_R01C01
GSM5548687,GSM5548687,GSM5548687_205121980135_R01C01
GSM5548688,GSM5548688,GSM5548688_205089030088_R06C01
GSM5548689,GSM5548689,GSM5548689_205103220115_R02C01
GSM5548690,GSM5548690,GSM5548690_205624880079_R06C01
GSM5548691,GSM5548691,GSM5548691_205089030088_R07C01
GSM5548692,GSM5548692,GSM5548692_205103220115_R04C01
GSM5548693,GSM5548693,GSM5548693_205103220115_R05C01
